date,action,price,shares,amount,gain_pct,sell_ratio
2023-07-28,SELL,193.30050659179688,202.26365589335893,39097.667149295165,30.325557164317207,3.0
2023-08-17,BUY,171.98440551757812,227.3326295580856,39097.667149295165,15.953982055437738,
2023-12-08,SELL,193.6977996826172,203.01572510330072,39323.69925348042,30.593417007685503,3.0
2024-03-04,BUY,173.5208282470703,226.6223579655162,39323.69925348042,16.989856982986883,
2024-06-04,SELL,192.8584442138672,203.72392408916718,39289.879048980765,30.027513322007305,3.0
2024-06-13,SELL,212.5957794189453,197.6122063664922,42011.521035181875,43.33466524257997,3.0
2024-10-21,SELL,234.9366912841797,319.4730669591624,75055.9453057948,58.397180275425384,5.0
2025-03-13,BUY,208.77008056640625,340.9466725684624,71179.46430096604,40.755332455041376,
2025-04-04,BUY,187.56253051757812,343.2532763246059,64381.453115892575,26.456943770316844,
2025-04-08,BUY,171.67176818847656,121.14064061055538,20796.427973098813,15.74319815826168,
2025-04-09,SELL,197.9871063232422,206.25986585183125,40836.79399062418,33.485319815620414,3.0
2025-08-07,SELL,219.36245727539062,200.07206987627632,43888.30088023363,47.89684191423753,3.0
2025-09-19,SELL,245.032958984375,323.4498462999801,79255.87292192542,65.2042069951572,5.0
2025-10-30,SELL,270.8836669921875,307.2773539849811,83236.41643110814,82.6330693587968,5.0
