date,action,price,shares,amount,gain_pct
2023-05-16,SELL,118.6137924194336,552.9336803568151,65585.5607835567,31.171121567113406
2023-07-28,SELL,131.58578491210938,525.2869963389743,69120.30171738825,45.51642466818579
2024-01-19,SELL,145.28228759765625,499.0226465220256,72499.15164975647,60.66293994405866
2024-03-06,BUY,130.41461181640625,553.5123879081425,72186.10320461247,44.22126256790177
2024-03-18,SELL,146.57252502441406,501.7471335913314,73542.34429424345,62.089771401881265
2024-04-26,SELL,170.66055297851562,476.6597769117649,81347.02111037768,88.7279353002797
2024-07-05,SELL,189.38780212402344,452.8267880661766,85759.87013473416,109.43778888624902
2024-07-25,BUY,166.21609497070312,543.1913962973789,90287.15271423396,83.81295425337754
2024-09-06,BUY,149.96017456054688,552.4972796055694,82852.58849387846,65.83606245342722
2024-09-19,SELL,161.3225860595703,484.96988245801526,78236.59559913287,78.40138246919447
2024-11-07,SELL,179.83876037597656,460.72138833511445,82855.56335688589,98.87781529099215
2025-01-24,SELL,199.428955078125,437.68531891835875,87287.12580492419,120.54197220212318
2025-02-21,BUY,178.9591064453125,541.7817026847442,96956.76940088179,97.9050347203473
2025-03-18,BUY,160.22750854492188,553.3427451064799,88660.72941981904,77.19037198829336
2025-04-08,BUY,144.30149841308594,562.4794640208262,81166.62948479468,59.57831719710141
2025-04-25,SELL,161.51397705078125,498.6812485630433,80543.99173606632,78.61303551950927
2025-06-10,SELL,178.3237762451172,473.74718613489114,84480.38721707222,97.20244378867567
2025-07-30,SELL,196.2260284423828,450.0598268281466,88313.45237995377,116.99996017689558
2025-09-03,SELL,230.30325317382812,427.55683548673926,98467.7301293033,154.68485075110425
2025-09-19,SELL,254.55349731445312,406.1789937124023,103394.28338515728,181.5024042355584
2025-10-30,SELL,281.2960205078125,385.8700440267822,108543.70781790823,211.07608777822176
2025-11-24,SELL,318.3717346191406,366.5765418254431,116707.60949165227,252.07690988908928
