date,action,price,shares,amount,change_pct
2023-04-27,SELL,236.90513610839844,278.3265041356985,65936.97834484237,31.873956689684718
2023-05-26,SELL,260.2222595214844,278.3265041356985,72426.75179090722,44.85350358181443
2023-06-01,SELL,270.71893310546875,278.3265041356985,75348.25425459113,50.69650850918224
2023-07-05,SELL,292.3280029296875,278.3265041356985,81362.63111639014,62.72526223278027
2023-07-12,SELL,307.1941833496094,278.3265041356985,85500.28314251757,71.00056628503512
2023-10-11,SELL,325.54595947265625,278.3265041356985,90608.0688355262,81.21613767105235
2023-12-18,SELL,342.2294616699219,278.3265041356985,95251.52967883137,90.50305935766272
2024-01-10,SELL,367.90008544921875,278.3265041356985,102396.34465430581,104.79268930861159
2024-01-19,SELL,380.7900695800781,278.3265041356985,105983.96887581253,111.96793775162502
2024-01-29,SELL,398.2381591796875,278.3265041356985,110840.23465791825,121.68046931583645
2024-02-02,SELL,471.6950378417969,278.3265041356985,131285.23090066333,162.57046180132662
2024-02-05,SELL,456.2231140136719,278.3265041356985,126978.98442932748,153.95796885865494
2024-02-29,SELL,487.2464599609375,278.3265041356985,135613.6038534223,171.22720770684458
2024-03-07,SELL,509.17669677734375,278.3265041356985,141717.37000140065,183.43474000280128
2024-04-05,SELL,524.237548828125,278.3265041356985,145909.20430199956,191.8184086039991
2024-04-25,SELL,438.78326416015625,278.3265041356985,122125.011986947,144.25002397389397
2024-04-29,SELL,430.0748291015625,278.3265041356985,119701.22370059586,139.40244740119167
2024-09-19,SELL,556.893310546875,278.3265041356985,154998.16830106764,209.99633660213522
2024-09-20,SELL,559.1343994140625,278.3265041356985,155621.92273092936,211.24384546185868
2024-10-03,SELL,580.4699096679688,278.3265041356985,161560.16071385043,223.1203214277008
